Name,ADDR,CITY,State,ZIP,County,lat,long,location,,,,,,,,
Northern Essex Community College,100 Elliott Street,Haverhill,MA,01830-2399,Essex County,42.796148,-71.047475,"Boston-Cambridge-Newton, MA-NH",,,,,,,,
College of Our Lady of the Elms,291 Springfield St,Chicopee,MA,01013,Hampden County,42.14179,-72.601541,"Springfield, MA",,,,,,,,
Pine Manor College,400 Heath St,Chestnut Hill,MA,02467,Norfolk County,42.319568,-71.156973,"Boston-Cambridge-Newton, MA-NH",,,,,,,,
Pope St John XXIII National Seminary,558 South Ave,Weston,MA,02493-2699,Middlesex County,42.3455,-71.2717,"Boston-Cambridge-Newton, MA-NH",,,,,,,,
Quincy College,1250 Hancock Street,Quincy,MA,02169,Norfolk County,42.25194,-71.003091,"Boston-Cambridge-Newton, MA-NH",,,,,,,,
Quinsigamond Community College,670 West Boylston Street,Worcester,MA,01606-2092,Worcester County,42.314675,-71.793568,"Worcester, MA-CT",,,,,,,,
Regis College,235 Wellesley St,Weston,MA,02493-1571,Middlesex County,42.351105,-71.309126,"Boston-Cambridge-Newton, MA-NH",,,,,,,,
Roxbury Community College,1234 Columbus Ave,Roxbury Crossing,MA,02120-3400,Suffolk County,42.329723,-71.095428,"Boston-Cambridge-Newton, MA-NH",,,,,,,,
Saint John's Seminary,127 Lake Street,Brighton,MA,02135-3846,Suffolk County,42.344146,-71.161998,"Boston-Cambridge-Newton, MA-NH",,,,,,,,
Salem State University,352 Lafayette St,Salem,MA,01970,Essex County,42.502879,-70.889321,"Boston-Cambridge-Newton, MA-NH",,,,,,,,
Salter College-West Boylston,184 West Boylston Suite # 1,West Boylston,MA,01583,Worcester County,42.350662,-71.787915,"Worcester, MA-CT",,,,,,,,
Simmons College,300 The Fenway,Boston,MA,02115-5898,Suffolk County,42.3393,-71.099967,"Boston-Cambridge-Newton, MA-NH",,,,,,,,
Bard College at Simon's Rock,84 Alford Road,Great Barrington,MA,01230-9702,Berkshire County,42.209241,-73.380008,"Pittsfield, MA",,,,,,,,
Smith College,Elm St,Northampton,MA,01063,Hampshire County,42.317933,-72.638094,"Springfield, MA",,,,,,,,
Southeastern Technical Institute,250 Foundry St,South Easton,MA,02375,Bristol County,42.011288,-71.081263,"Providence-Warwick, RI-MA",,,,,,,,
Springfield College,263 Alden St,Springfield,MA,01109-3797,Hampden County,42.105033,-72.555688,"Springfield, MA",,,,,,,,
Springfield Technical Community College,1 Armory Sq,Springfield,MA,01105-1296,Hampden County,42.108393,-72.581598,"Springfield, MA",,,,,,,,
University of Massachusetts-Dartmouth,285 Old Westport Rd,North Dartmouth,MA,02747-2300,Bristol County,41.628861,-71.005528,"Providence-Warwick, RI-MA",,,,,,,,
Stonehill College,320 Washington Street,Easton,MA,02357-6110,Bristol County,42.061448,-71.078123,"Providence-Warwick, RI-MA",,,,,,,,
Suffolk University,8 Ashburton Place,Boston,MA,02108-2770,Suffolk County,42.359134,-71.06192,"Boston-Cambridge-Newton, MA-NH",,,,,,,,
Rob Roy Academy-Taunton,1 School St,Taunton,MA,02780-5339,Bristol County,41.901917,-71.091871,"Providence-Warwick, RI-MA",,,,,,,,
Tufts University,M,Medford,MA,02155-5555,Middlesex County,42.406994,-71.121689,"Boston-Cambridge-Newton, MA-NH",,,,,,,,
Wellesley College,106 Central St,Wellesley,MA,02481-8203,Norfolk County,42.293765,-71.307966,"Boston-Cambridge-Newton, MA-NH",,,,,,,,
Wentworth Institute of Technology,550 Huntington Ave,Boston,MA,02115,Suffolk County,42.336632,-71.094983,"Boston-Cambridge-Newton, MA-NH",,,,,,,,
Western New England University,1215 Wilbraham Rd,Springfield,MA,01119-2684,Hampden County,42.115837,-72.518789,"Springfield, MA",,,,,,,,
Westfield State University,577 Western Ave,Westfield,MA,01086-1630,Hampden County,42.131589,-72.795673,"Springfield, MA",,,,,,,,
Wheaton College,26 E Main St,Norton,MA,02766-2322,Bristol County,41.966813,-71.184167,"Providence-Warwick, RI-MA",,,,,,,,
Wheelock College,200 Riverway,Boston,MA,02215-4104,Suffolk County,42.342503,-71.10582,"Boston-Cambridge-Newton, MA-NH",,,,,,,,
Williams College,880 Main St,Williamstown,MA,01267,Berkshire County,42.711669,-73.205888,"Pittsfield, MA",,,,,,,,
Worcester Polytechnic Institute,100 Institute Road,Worcester,MA,01609-2280,Worcester County,42.275067,-71.808792,"Worcester, MA-CT",,,,,,,,
Worcester State University,486 Chandler St,Worcester,MA,01602-2597,Worcester County,42.267534,-71.844019,"Worcester, MA-CT",,,,,,,,
Adrian College,110 S Madison St,Adrian,MI,49221-2575,Lenawee County,41.898449,-84.059947,"Adrian, MI",,,,,,,,
Albion College,611 E Porter St,Albion,MI,49224,Calhoun County,42.244603,-84.746088,"Battle Creek, MI",,,,,,,,
Hillsdale Beauty College,64 Waldron St,Hillsdale,MI,49242,Hillsdale County,41.919063,-84.631639,"Hillsdale, MI",,,,,,,,
Northwestern Technological Institute,24567 Northwestern Hwy Ste 200,Southfield,MI,48075,Oakland County,42.46927,-83.238361,"Detroit-Warren-Dearborn, MI",,,,,,,,
Alma College,614 W Superior,Alma,MI,48801-1599,Gratiot County,43.379236,-84.670073,"Alma, MI",,,,,,,,
Alpena Community College,665 Johnson St,Alpena,MI,49707,Alpena County,45.081647,-83.445069,"Alpena, MI",,,,,,,,
Andrews University,"4150 Administration Drive, Room 136",Berrien Springs,MI,49104,Berrien County,41.962914,-86.356866,"Niles-Benton Harbor, MI",,,,,,,,
Aquinas College,1607 Robinson Road SE,Grand Rapids,MI,49506-1799,Kent County,42.960449,-85.626166,"Grand Rapids-Wyoming, MI",,,,,,,,
Baker College of Owosso,1020 S. Washington Street,Owosso,MI,48867,Shiawassee County,42.987045,-84.170882,"Owosso, MI",,,,,,,,
Baker College,1050 West Bristol Road,Flint,MI,48507-5508,Genesee County,42.974764,-83.694679,"Flint, MI",,,,,,,,
Bay de Noc Community College,2001 N Lincoln Road,Escanaba,MI,49829-2511,Delta County,45.769714,-87.080708,"Escanaba, MI",,,,,,,,
Bayshire Academy of Beauty Craft Inc,917 Saginaw St,Bay City,MI,48708-5614,Bay County,43.599491,-83.889064,"Bay City, MI",,,,,,,,
Cadillac Institute of Cosmetology,205 N Mitchell St,Cadillac,MI,49601,Wexford County,44.251388,-85.400231,"Cadillac, MI",,,,,,,,
Calvin College,3201 Burton Street SE,Grand Rapids,MI,49546,Kent County,42.929916,-85.587548,"Grand Rapids-Wyoming, MI",,,,,,,,
Calvin Theological Seminary,3233 Burton St SE,Grand Rapids,MI,49546-4387,Kent County,42.92992,-85.587354,"Grand Rapids-Wyoming, MI",,,,,,,,
Carnegie Institute,550 Stephenson Hwy Suite 100,Troy,MI,48083,Oakland County,42.53889,-83.118801,"Detroit-Warren-Dearborn, MI",,,,,,,,
Michigan School of Professional Psychology,26811 Orchard Lake Rd.,Farmington Hills,MI,48334-4512,Oakland County,42.491427,-83.359575,"Detroit-Warren-Dearborn, MI",,,,,,,,
Central Michigan University,106 Warriner Hall,Mount Pleasant,MI,48859,Isabella County,43.591137,-84.775275,"Mount Pleasant, MI",,,,,,,,
Mott Community College,1401 E Court St,Flint,MI,48503-2089,Genesee County,43.019941,-83.67243,"Flint, MI",,,,,,,,
Empire Beauty School-Michigan,1735 Four Mile NE,Grand Rapids,MI,49525-2440,Kent County,43.029398,-85.626152,"Grand Rapids-Wyoming, MI",,,,,,,,
Cleary University,3750 Cleary Drive,Howell,MI,48843,Livingston County,42.586573,-83.881516,"Detroit-Warren-Dearborn, MI",,,,,,,,
Concordia University-Ann Arbor,4090 Geddes Road,Ann Arbor,MI,48105,Washtenaw County,42.274723,-83.682676,"Ann Arbor, MI",,,,,,,,
Cranbrook Academy of Art,39221  Woodward Avenue,Bloomfield Hills,MI,48304,Oakland County,42.568716,-83.25124,"Detroit-Warren-Dearborn, MI",,,,,,,,
College for Creative Studies,201 E Kirby,Detroit,MI,48202,Wayne County,42.361839,-83.062352,"Detroit-Warren-Dearborn, MI",,,,,,,,
Davenport University,6191 Kraft Avenue S.E.,Grand Rapids,MI,49512-9396,Kent County,42.849713,-85.529655,"Grand Rapids-Wyoming, MI",,,,,,,,
David Pressley School of Cosmetology,1127 S Washington St,Royal Oak,MI,48067-3219,Oakland County,42.479729,-83.146008,"Detroit-Warren-Dearborn, MI",,,,,,,,
Delta College,1961 Delta Road,University Center,MI,48710,Bay County,43.559491,-83.985943,"Bay City, MI",,,,,,,,
Detroit Business Institute-Downriver,19100 Fort St,Riverview,MI,48193,Wayne County,42.169965,-83.189207,"Detroit-Warren-Dearborn, MI",,,,,,,,
Michigan State University-College of Law,"648 N. Shaw Lane, Room 368",East Lansing,MI,48824-1300,Ingham County,42.72565,-84.473401,"Lansing-East Lansing, MI",,,,,,,,
MIAT College of Technology,2955 S Haggerty,Canton,MI,48188,Wayne County,42.28593,-83.445541,"Detroit-Warren-Dearborn, MI",,,,,,,,
University of Detroit Mercy,4001 W McNichols Rd,Detroit,MI,48221-3038,Wayne County,42.417168,-83.138369,"Detroit-Warren-Dearborn, MI",,,,,,,,
Dorsey Business Schools-Madison Heights,31739 John R Road,Madison Heights,MI,48071,Oakland County,42.526138,-83.106727,"Detroit-Warren-Dearborn, MI",,,,,,,,
Dorsey Business Schools-Southgate,15755 Northline Rd,Southgate,MI,48195,Wayne County,42.21323,-83.216005,"Detroit-Warren-Dearborn, MI",,,,,,,,
Eastern Michigan University,202 Welch Hall,Ypsilanti,MI,48197,Washtenaw County,42.245751,-83.624499,"Ann Arbor, MI",,,,,,,,
Ferris State University,1201 S State St,Big Rapids,MI,49307-2251,Mecosta County,43.687464,-85.483509,"Big Rapids, MI",,,,,,,,
Flint Institute of Barbering Inc,3214 Flushing Road,Flint,MI,48504-4395,Genesee County,43.026429,-83.738568,"Flint, MI",,,,,,,,
Glen Oaks Community College,62249 Shimmel Rd,Centreville,MI,49032-9719,St. Joseph County,41.892504,-85.496929,"Sturgis, MI",,,,,,,,
Kettering University,1700 University Avenue,Flint,MI,48504-6214,Genesee County,43.013112,-83.714356,"Flint, MI",,,,,,,,
Gogebic Community College,E4946 Jackson Rd,Ironwood,MI,49938,Gogebic County,46.471893,-90.165592,N,,,,,,,,
Grace Bible College,1011 Aldon SW,Wyoming,MI,49509,Kent County,42.919541,-85.692077,"Grand Rapids-Wyoming, MI",,,,,,,,
Cornerstone University,1001 E Beltline Ave NE,Grand Rapids,MI,49525-5897,Kent County,42.979044,-85.595602,"Grand Rapids-Wyoming, MI",,,,,,,,
Everest Institute-Grand Rapids,1750 Woodworth St NE,Grand Rapids,MI,49525,Kent County,43.035183,-85.62648,"Grand Rapids-Wyoming, MI",,,,,,,,
Grand Rapids Community College,143 Bostwick Ave NE,Grand Rapids,MI,49503-3295,Kent County,42.966408,-85.666571,"Grand Rapids-Wyoming, MI",,,,,,,,
Grand Valley State University,1 Campus Dr,Allendale,MI,49401-9403,Ottawa County,42.965208,-85.887519,"Grand Rapids-Wyoming, MI",,,,,,,,
Great Lakes Christian College,6211 W Willow Hwy,Lansing,MI,48917-1299,Eaton County,42.754249,-84.638714,"Lansing-East Lansing, MI",,,,,,,,
Henry Ford College,5101 Evergreen Rd,Dearborn,MI,48128-1495,Wayne County,42.324577,-83.238409,"Detroit-Warren-Dearborn, MI",,,,,,,,
Hillsdale College,33 E College St,Hillsdale,MI,49242,Hillsdale County,41.931429,-84.631501,"Hillsdale, MI",,,,,,,,
Hope College,"100 E. 8th Street, Suite 260",Holland,MI,49422-9000,Ottawa County,42.788052,-86.105376,"Grand Rapids-Wyoming, MI",,,,,,,,
ITT Technical Institute-Wyoming,1980 Metro Court S.W.,Wyoming,MI,49519,Kent County,42.854784,-85.714524,"Grand Rapids-Wyoming, MI",,,,,,,,
Jackson College,2111 Emmons Rd,Jackson,MI,49201-8399,Jackson County,42.16483,-84.403942,"Jackson, MI",,,,,,,,
Wright Beauty Academy,6666 Lovers Ln,Portage,MI,49002,Kalamazoo County,42.220356,-85.575426,"Kalamazoo-Portage, MI",,,,,,,,
Kalamazoo College,1200 Academy St,Kalamazoo,MI,49006-3295,Kalamazoo County,42.290382,-85.601317,"Kalamazoo-Portage, MI",,,,,,,,
Kalamazoo Valley Community College,6767 West O Ave,Kalamazoo,MI,49003-4070,Kalamazoo County,42.225948,-85.682144,"Kalamazoo-Portage, MI",,,,,,,,
Kellogg Community College,450 North Ave,Battle Creek,MI,49017-3397,Calhoun County,42.335454,-85.177299,"Battle Creek, MI",,,,,,,,
Kirtland Community College,10775 N Saint Helen Road,Roscommon,MI,48653,Roscommon County,44.490753,-84.413388,N,,,,,,,,
Michigan College of Beauty-Monroe,1020 S. Monroe St.,Monroe,MI,48161,Monroe County,41.90662,-83.406033,"Monroe, MI",,,,,,,,
Lake Michigan College,2755 East Napier Avenue,Benton Harbor,MI,49022-1899,Berrien County,42.097276,-86.393445,"Niles-Benton Harbor, MI",,,,,,,,
Lake Superior State University,650 W Easterday Ave,Sault Ste Marie,MI,49783,Chippewa County,46.491736,-84.3655,"Sault Ste. Marie, MI",,,,,,,,
Lansing Community College,419 N Capitol Ave,Lansing,MI,48901-7210,Ingham County,42.739099,-84.552201,"Lansing-East Lansing, MI",,,,,,,,
Lawrence Technological University,21000 West Ten Mile Road,Southfield,MI,48075-1058,Oakland County,42.474072,-83.25003,"Detroit-Warren-Dearborn, MI",,,,,,,,
M J Murphy Beauty College of Mount Pleasant,201 W Broadway,Mount Pleasant,MI,48858,Isabella County,43.604862,-84.779388,"Mount Pleasant, MI",,,,,,,,
Macomb Community College,14500 E Twelve Mile Rd,Warren,MI,48088-3896,Macomb County,42.507039,-82.97373,"Detroit-Warren-Dearborn, MI",,,,,,,,
Madonna University,36600 Schoolcraft Rd,Livonia,MI,48150-1176,Wayne County,42.386463,-83.407306,"Detroit-Warren-Dearborn, MI",,,,,,,,
Marygrove College,8425 W McNichols Rd,Detroit,MI,48221-2599,Wayne County,42.414415,-83.154109,"Detroit-Warren-Dearborn, MI",,,,,,,,
Rochester College,800 West Avon Road,Rochester Hills,MI,48307,Oakland County,42.667521,-83.144959,"Detroit-Warren-Dearborn, MI",,,,,,,,
University of Michigan-Ann Arbor,503 Thompson Street,Ann Arbor,MI,48109,Washtenaw County,42.276061,-83.743121,"Ann Arbor, MI",,,,,,,,
Michigan Barber School Inc,8988-90 Grand River Avenue,Detroit,MI,48204-2244,Wayne County,42.333711,-83.049558,"Detroit-Warren-Dearborn, MI",,,,,,,,
Michigan State University,M,East Lansing,MI,48824-1046,Ingham County,42.73212,-84.476111,"Lansing-East Lansing, MI",,,,,,,,
Michigan Technological University,1400 Townsend Drive,Houghton,MI,49931-1295,Houghton County,47.1183,-88.546403,"Houghton, MI",,,,,,,,
University of Michigan-Dearborn,4901 Evergreen Rd,Dearborn,MI,48128-1491,Wayne County,42.317287,-83.231417,"Detroit-Warren-Dearborn, MI",,,,,,,,
University of Michigan-Flint,303 E. Kearsley Street,Flint,MI,48502-1950,Genesee County,43.018777,-83.688474,"Flint, MI",,,,,,,,
Mid Michigan Community College,1375 S Clare Ave,Harrison,MI,48625-9447,Clare County,43.969586,-84.763715,N,,,,,,,,
Monroe County Community College,1555 South Raisinville Road,Monroe,MI,48161-9746,Monroe County,41.91617,-83.470274,"Monroe, MI",,,,,,,,
Montcalm Community College,2800 College Dr,Sidney,MI,48885-9723,Montcalm County,43.252147,-85.09967,"Grand Rapids-Wyoming, MI",,,,,,,,
Mr Bela's School of Cosmetology Inc,5580 East 12 Mile Road,Warren,MI,48092,Macomb County,42.506078,-83.050543,"Detroit-Warren-Dearborn, MI",,,,,,,,
Baker College of Muskegon,1903 Marquette Ave,Muskegon,MI,49442,Muskegon County,43.244133,-86.196717,"Muskegon, MI",,,,,,,,
Muskegon Community College,221 S Quarterline Rd,Muskegon,MI,49442-1432,Muskegon County,43.250329,-86.196384,"Muskegon, MI",,,,,,,,
Everest College-Skokie,9811 Woods Drive,Skokie,IL,60077-1074,Cook County,42.059882,-87.760707,"Chicago-Naperville-Elgin, IL-IN-WI",,,,,,,,
Everest Institute-Southfield,21107 Lahser Road,Southfield,MI,48033,Oakland County,42.447485,-83.260486,"Detroit-Warren-Dearborn, MI",,,,,,,,
North Central Michigan College,1515 Howard St,Petoskey,MI,49770,Emmet County,45.360524,-84.952698,N,,,,,,,,
Northern Michigan University,1401 Presque Isle Avenue,Marquette,MI,49855,Marquette County,46.558037,-87.403857,"Marquette, MI",,,,,,,,
Paul Mitchell the School-Escanaba,1625 Sheridan Rd,Escanaba,MI,49829,Delta County,45.766848,-87.069482,"Escanaba, MI",,,,,,,,
Northwestern Michigan College,1701 E Front St,Traverse City,MI,49686,Grand Traverse County,44.767608,-85.581808,"Traverse City, MI",,,,,,,,
Northwood University-Michigan,4000 Whiting Dr,Midland,MI,48640-2398,Midland County,43.628996,-84.276276,"Midland, MI",,,,,,,,
Oakland Community College,2480 Opdyke Rd,Bloomfield Hills,MI,48304-2266,Oakland County,42.620538,-83.430388,"Detroit-Warren-Dearborn, MI",,,,,,,,
Oakland University,2200 North Squirrel Road,Rochester Hills,MI,48309-4401,Oakland County,42.67449,-83.220523,"Detroit-Warren-Dearborn, MI",,,,,,,,
Olivet College,320 South Main Street,Olivet,MI,49076,Eaton County,42.440908,-84.922864,"Lansing-East Lansing, MI",,,,,,,,
Port Huron Cosmetology College,5620 Dixie Hwy,Waterford,MI,48329,Oakland County,42.700677,-83.398624,"Detroit-Warren-Dearborn, MI",,,,,,,,
Kuyper College,3333 East Beltline Ave NE,Grand Rapids,MI,49525-9781,Kent County,43.02195,-85.592657,"Grand Rapids-Wyoming, MI",,,,,,,,
Ross Medical Education Center-Lansing,4106 W Saginaw Hwy,Lansing,MI,48917,Eaton County,42.741855,-84.605807,"Lansing-East Lansing, MI",,,,,,,,
Ross Medical Education Center-Madison Heights,29429 John R Road,Madison Heights,MI,48071,Oakland County,42.508189,-83.107692,"Detroit-Warren-Dearborn, MI",,,,,,,,
Ross Medical Education Center-Flint,"G3630 Miller Road, Suite D",Flint,MI,48507,Genesee County,43.016571,-83.749923,"Flint, MI",,,,,,,,
Sacred Heart Major Seminary,2701 Chicago Blvd,Detroit,MI,48206-1799,Wayne County,42.375248,-83.111682,"Detroit-Warren-Dearborn, MI",,,,,,,,
Saginaw Valley State University,7400 Bay Rd,University Center,MI,48710,Bay County,43.55187,-83.96434,"Bay City, MI",,,,,,,,
Schoolcraft College,18600 Haggerty Road,Livonia,MI,48152-2696,Wayne County,42.419279,-83.430958,"Detroit-Warren-Dearborn, MI",,,,,,,,
Siena Heights University,1247 E. Siena Heights Dr.,Adrian,MI,49221,Lenawee County,41.905952,-84.015144,"Adrian, MI",,,,,,,,
St Clair County Community College,323 Erie Street,Port Huron,MI,48061-5015,St. Clair County,42.979494,-82.428717,"Detroit-Warren-Dearborn, MI",,,,,,,,
Southwestern Michigan College,58900 Cherry Grove Rd,Dowagiac,MI,49047-9793,Cass County,41.965179,-86.082941,"South Bend-Mishawaka, IN-MI",,,,,,,,
Specs Howard School of Media Arts,19900 W Nine Mile Rd,Southfield,MI,48075,Oakland County,42.459245,-83.239309,"Detroit-Warren-Dearborn, MI",,,,,,,,
Spring Arbor University,106 E. Main St,Spring Arbor,MI,49283-9799,Jackson County,42.206233,-84.551918,"Jackson, MI",,,,,,,,
Michigan Career and Technical Institute,11611 West Pine Lake Road,Plainwell,MI,49080-9254,Barry County,42.508058,-85.520711,"Grand Rapids-Wyoming, MI",,,,,,,,
Finlandia University,601 Quincy St,Hancock,MI,49930-1832,Houghton County,47.12709,-88.589392,"Houghton, MI",,,,,,,,
Western Michigan University-Thomas M. Cooley Law School,300 S Capitol Ave,Lansing,MI,48901,Ingham County,42.731,-84.554429,"Lansing-East Lansing, MI",,,,,,,,
Twin City Beauty College,2600 Lincoln  Avenue,Saint Joseph,MI,49085,Berrien County,42.072138,-86.477623,"Niles-Benton Harbor, MI",,,,,,,,
Walsh College of Accountancy and Business Administration,3838 Livernois,Troy,MI,48083-5066,Oakland County,42.573888,-83.147197,"Detroit-Warren-Dearborn, MI",,,,,,,,
Washtenaw Community College,4800 E Huron River Dr,Ann Arbor,MI,48105-4800,Washtenaw County,42.263311,-83.664928,"Ann Arbor, MI",,,,,,,,
Wayne County Community College District,801 W. Fort Street,Detroit,MI,48226,Wayne County,42.326515,-83.055527,"Detroit-Warren-Dearborn, MI",,,,,,,,
Wayne State University,656 West Kirby Street,Detroit,MI,48202,Wayne County,42.35861,-83.072864,"Detroit-Warren-Dearborn, MI",,,,,,,,
West Shore Community College,3000 N Stiles Rd,Scottville,MI,49454-0277,Mason County,44.008857,-86.337502,"Ludington, MI",,,,,,,,
Excel Academies of Cosmetology-Kentwood,2855 29th Street SE Suite B,Kentwood,MI,49512-1781,Kent County,42.91074,-85.596821,"Grand Rapids-Wyoming, MI",,,,,,,,
Western Michigan University,1903 West Michigan Avenue,Kalamazoo,MI,49008-5200,Kalamazoo County,42.282589,-85.61512,"Kalamazoo-Portage, MI",,,,,,,,
Western Theological Seminary,101 E 13th St,Holland,MI,49423-3622,Ottawa County,42.786227,-86.101897,"Grand Rapids-Wyoming, MI",,,,,,,,
Wright Beauty Academy,492 Capital SW,Battle Creek,MI,49015,Calhoun County,42.308156,-85.196585,"Battle Creek, MI",,,,,,,,
Academy College,"1600 W. 82nd Street, Suite 100",Bloomington,MN,55431-1411,Hennepin County,44.85621,-93.299681,"Minneapolis-St. Paul-Bloomington, MN-WI",,,,,,,,
Alexandria Technical & Community College,1601 Jefferson Streeet,Alexandria,MN,56308,Douglas County,45.868592,-95.371579,"Alexandria, MN",,,,,,,,
American Indian OIC Inc,1845 E. Franklin Ave,Minneapolis,MN,55404-2221,Hennepin County,44.961993,-93.246166,"Minneapolis-St. Paul-Bloomington, MN-WI",,,,,,,,
Anoka Technical College,1355 Highway 10 West,Anoka,MN,55303,Anoka County,45.216331,-93.415955,"Minneapolis-St. Paul-Bloomington, MN-WI",,,,,,,,
Anoka-Ramsey Community College,11200 Mississippi Blvd. NW,Coon Rapids,MN,55433-3470,Anoka County,45.172978,-93.351697,"Minneapolis-St. Paul-Bloomington, MN-WI",,,,,,,,
Augsburg College,2211 Riverside Ave,Minneapolis,MN,55454,Hennepin County,44.965636,-93.241418,"Minneapolis-St. Paul-Bloomington, MN-WI",,,,,,,,
Riverland Community College,1900 8th Ave NW,Austin,MN,55912-1473,Mower County,43.676778,-93.001055,"Austin, MN",,,,,,,,
Northwest Technical College,905 Grant Avenue SE,Bemidji,MN,56601-4907,Beltrami County,47.452652,-94.853985,"Bemidji, MN",,,,,,,,
Bemidji State University,1500 Birchmont Dr,Bemidji,MN,56601,Beltrami County,47.482505,-94.874529,"Bemidji, MN",,,,,,,,
Bethany Lutheran College,700 Luther Dr,Mankato,MN,56001,Blue Earth County,44.166485,-93.990744,"Mankato-North Mankato, MN",,,,,,,,
Bethel University,3900 Bethel Dr,Saint Paul,MN,55112,Ramsey County,45.057091,-93.159295,"Minneapolis-St. Paul-Bloomington, MN-WI",,,,,,,,
Bethel Seminary-St Paul,3949 Bethel Dr,Saint Paul,MN,55112,Ramsey County,45.058775,-93.159786,"Minneapolis-St. Paul-Bloomington, MN-WI",,,,,,,,
Central Lakes College-Brainerd,501 West College Drive,Brainerd,MN,56401-3900,Crow Wing County,46.346006,-94.21524,"Brainerd, MN",,,,,,,,
Carleton College,One North College Street,Northfield,MN,55057-4001,Rice County,44.462304,-93.154662,"Faribault-Northfield, MN",,,,,,,,
Concordia College at Moorhead,901 S 8th St,Moorhead,MN,56562,Clay County,46.859423,-96.765567,"Fargo, ND-MN",,,,,,,,
Concordia University-Saint Paul,1282 Concordia Ave,Saint Paul,MN,55104-5494,Ramsey County,44.9502,-93.154971,"Minneapolis-St. Paul-Bloomington, MN-WI",,,,,,,,
Dakota County Technical College,1300  145th Street East,Rosemount,MN,55068-2999,Dakota County,44.738929,-93.079346,"Minneapolis-St. Paul-Bloomington, MN-WI",,,,,,,,
Martin Luther College,1995 Luther Ct,New Ulm,MN,56073-3965,Brown County,44.3046,-94.473422,"New Ulm, MN",,,,,,,,
Lake Superior College,2101 Trinity Rd,Duluth,MN,55811-3399,St. Louis County,46.784671,-92.145255,"Duluth, MN-WI",,,,,,,,
Cosmetology Careers Unlimited College of Hair Skin and Nails,121 W Superior St,Duluth,MN,55802,St. Louis County,46.785732,-92.099721,"Duluth, MN-WI",,,,,,,,
Duluth Business University,4724 Mike Colalillo Drive,Duluth,MN,55807,St. Louis County,46.742888,-92.157379,"Duluth, MN-WI",,,,,,,,
Minnesota State Community and Technical College,1414 College Way,Fergus Falls,MN,56537-1000,Otter Tail County,46.288102,-96.096961,"Fergus Falls, MN",,,,,,,,
Globe University-Woodbury,8089 Globe Drive,Woodbury,MN,55125-3388,Washington County,44.946656,-92.941145,"Minneapolis-St. Paul-Bloomington, MN-WI",,,,,,,,
Minnesota West Community and Technical College,1593 11th Ave,Granite Falls,MN,56241,Yellow Medicine County,44.80755,-95.561709,N,,,,,,,,
Gustavus Adolphus College,800 West College Avenue,Saint Peter,MN,56082-1498,Nicollet County,44.324968,-93.971928,"Mankato-North Mankato, MN",,,,,,,,
Hamline University,1536 Hewitt Avenue,Saint Paul,MN,55104-1284,Ramsey County,44.965696,-93.163983,"Minneapolis-St. Paul-Bloomington, MN-WI",,,,,,,,
Hazelden Betty Ford Graduate School of Addiction Studies,15251 Pleasant Valley Rd,Center City,MN,55012-0011,Chisago County,45.377896,-92.796687,"Minneapolis-St. Paul-Bloomington, MN-WI",,,,,,,,
Hennepin Technical College,9000 Brooklyn Blvd,Brooklyn Park,MN,55445,Hennepin County,45.096534,-93.397755,"Minneapolis-St. Paul-Bloomington, MN-WI",,,,,,,,
Cosmetology Careers Unlimited College of Hair Skin and Nails,2534 E. Beltline,Hibbing,MN,55746,St. Louis County,47.41989,-92.923517,"Duluth, MN-WI",,,,,,,,
Hibbing Community College,1515 E 25th St,Hibbing,MN,55746,St. Louis County,47.422275,-92.921052,"Duluth, MN-WI",,,,,,,,
Aveda Institute-Minneapolis,400 Central Ave SE,Minneapolis,MN,55414,Hennepin County,44.987863,-93.253702,"Minneapolis-St. Paul-Bloomington, MN-WI",,,,,,,,
Inver Hills Community College,2500 80th St E,Inver Grove Heights,MN,55076-3224,Dakota County,44.828384,-93.054585,"Minneapolis-St. Paul-Bloomington, MN-WI",,,,,,,,
Itasca Community College,1851 Hwy 169 East,Grand Rapids,MN,55744-3397,Itasca County,47.242469,-93.494483,N,,,,,,,,
The Art Institutes International-Minnesota,"15 S 9th Street, LaSalle Building",Minneapolis,MN,55402,Hennepin County,44.976003,-93.276322,"Minneapolis-St. Paul-Bloomington, MN-WI",,,,,,,,
Luther Seminary,2481 Como Ave,Saint Paul,MN,55108-1496,Ramsey County,44.984815,-93.196754,"Minneapolis-St. Paul-Bloomington, MN-WI",,,,,,,,
Macalester College,1600 Grand Ave,Saint Paul,MN,55105-1899,Ramsey County,44.936709,-93.169855,"Minneapolis-St. Paul-Bloomington, MN-WI",,,,,,,,
South Central College,1920 Lee Blvd,North Mankato,MN,56003-1920,Nicollet County,44.174326,-94.04741,"Mankato-North Mankato, MN",,,,,,,,
Minnesota State University-Mankato,South Rd and Ellis Ave,Mankato,MN,56001,Blue Earth County,44.147253,-93.998494,"Mankato-North Mankato, MN",,,,,,,,
Regency Beauty Institute-Blaine,1351 113th Ave NE,Blaine,MN,55434,Anoka County,45.132464,-93.266236,"Minneapolis-St. Paul-Bloomington, MN-WI",,,,,,,,
Mayo Medical School,200 1st St SW,Rochester,MN,55905,Olmsted County,44.020808,-92.466417,"Rochester, MN",,,,,,,,
Mayo School of Health Sciences,200 First St SW,Rochester,MN,55905,Olmsted County,44.022784,-92.466645,"Rochester, MN",,,,,,,,
